tconst	parent_tconst	ssnNum	epNum	runTime
tt14500890	tt3581920	1	4	45
tt1459319	tt1355642	1	14	30
tt1461557	tt1355642	1	15	30
tt1461558	tt1355642	1	16	30
tt1461559	tt1355642	1	17	30
tt1465296	tt0279600	9	2	42
tt1465297	tt0279600	9	1	42
tt14659486	tt3581920	1	5	59
tt14659496	tt3581920	1	6	59
tt1468806	tt0279600	9	3	42
tt1468807	tt0279600	9	4	42
tt14715678	tt7826376	2	7	39
tt1477737	tt1355642	1	18	30
tt1480515	tt0279600	9	8	42
tt1480516	tt0279600	9	5	42
tt1484138	tt1355642	1	19	30
tt1487438	tt1355642	1	20	30
tt1490353	tt0279600	9	6	42
tt1490354	tt0279600	9	7	42
tt1491272	tt0460649	5	1	30
tt1491878	tt1355642	1	21	30
tt1499824	tt0279600	9	9	42
tt1500794	tt1355642	1	22	30
tt15046608	tt9140554	2	1	
tt1505214	tt1355642	1	23	30
tt15088996	tt5057054	3	5	49
tt1509989	tt1355642	1	24	30
tt1510422	tt0460649	5	2	30
tt1510516	tt0279600	9	10	42
tt15108854	tt5057054	3	6	49
tt1512300	tt0279600	9	12	42
tt1513120	tt1355642	1	25	30
tt1514922	tt1355642	1	26	30
tt1520584	tt0460649	5	3	22
tt1521981	tt1355642	1	27	30
tt1523038	tt0460649	5	4	22
tt1523745	tt0460649	5	5	30
tt1526676	tt1355642	1	28	30
tt1530725	tt1355642	1	29	30
tt1531287	tt0460649	5	6	30
tt1534640	tt1355642	1	30	30
tt1535502	tt0279600	9	11	84
tt1535503	tt0279600	9	13	42
tt1536724	tt0460649	5	7	30
tt1539093	tt1355642	1	31	30
tt1541288	tt0460649	5	9	22
tt1541289	tt0460649	5	8	30
tt1543387	tt1355642	1	32	30
tt1547750	tt1355642	1	33	30
tt1548830	tt1355642	1	34	30
tt1553522	tt0460649	5	10	30
tt1554336	tt1355642	1	35	30
tt1559709	tt0460649	5	11	30
tt1562664	tt1355642	1	36	30
tt1566096	tt1355642	1	37	30
tt15683364	tt5057054	4	1	
tt1570154	tt0460649	5	12	30
tt1570155	tt0460649	5	13	30
tt1570817	tt1355642	1	38	30
